"Woningtype";"Bouwjaarklasse";"Perioden";"Regio's";"Beginstand woningvoorraad (aantal)";"Gemiddelde oppervlakte (m2)"
"Totaal";"1000 tot 1850";"2021";"Utrecht (PV)";5577;155
"Totaal";"1000 tot 1850";"2021";"Noord-Holland (PV)";26380;99
"Totaal";"1000 tot 1850";"2021";"Zuid-Holland (PV)";12798;135
"Totaal";"1000 tot 1850";"2021";"Zeeland (PV)";3400;169
"Totaal";"1000 tot 1850";"2021";"Noord-Brabant (PV)";4682;219
"Totaal";"1000 tot 1850";"2021";"Limburg (PV)";6777;199
"Totaal";"1000 tot 1850";"2021";"Niet in te delen (PV)";0;
"Totaal";"1000 tot 1850";"2021";"Oost-Groningen (CR)";132;438
"Totaal";"1000 tot 1850";"2021";"Delfzijl en omgeving (CR)";179;283
"Totaal";"1000 tot 1850";"2021";"Overig Groningen (CR)";950;320
"Totaal";"1000 tot 1850";"2021";"Noord-Friesland (CR)";2539;212
"Totaal";"1000 tot 1850";"2021";"Zuidwest-Friesland (CR)";971;246
"Totaal";"1000 tot 1850";"2021";"Zuidoost-Friesland (CR)";261;259
"Totaal";"1000 tot 1850";"2021";"Noord-Drenthe (CR)";310;300
"Totaal";"1000 tot 1850";"2021";"Zuidoost-Drenthe (CR)";150;257
"Totaal";"1000 tot 1850";"2021";"Zuidwest-Drenthe (CR)";369;277
"Totaal";"1000 tot 1850";"2021";"Noord-Overijssel (CR)";1206;165
"Totaal";"1000 tot 1850";"2021";"Zuidwest-Overijssel (CR)";743;184
"Totaal";"1000 tot 1850";"2021";"Twente (CR)";486;285
"Totaal";"1000 tot 1850";"2021";"Veluwe (CR)";1353;202
"Totaal";"1000 tot 1850";"2021";"Achterhoek (CR)";1645;235
"Totaal";"1000 tot 1850";"2021";"Arnhem/Nijmegen (CR)";1281;253
"Totaal";"1000 tot 1850";"2021";"Zuidwest-Gelderland (CR)";1475;211
"Totaal";"1000 tot 1850";"2021";"Utrecht (CR)";5577;155
"Totaal";"1000 tot 1850";"2021";"Kop van Noord-Holland (CR)";1798;164
"Totaal";"1000 tot 1850";"2021";"Alkmaar en omgeving (CR)";438;173
"Totaal";"1000 tot 1850";"2021";"IJmond (CR)";137;192
"Totaal";"1000 tot 1850";"2021";"Agglomeratie Haarlem (CR)";1222;118
"Totaal";"1000 tot 1850";"2021";"Zaanstreek (CR)";191;148
"Totaal";"1000 tot 1850";"2021";"Groot-Amsterdam (CR)";21938;88
"Totaal";"1000 tot 1850";"2021";"Het Gooi en Vechtstreek (CR)";656;159
"Totaal";"1000 tot 1850";"2021";"Agglomeratie Leiden en Bollenstreek (CR)";4766;106
"Totaal";"1000 tot 1850";"2021";"Agglomeratie 's-Gravenhage (CR)";1684;124
"Totaal";"1000 tot 1850";"2021";"Delft en Westland (CR)";1398;141
"Totaal";"1000 tot 1850";"2021";"Oost-Zuid-Holland (CR)";1365;159
"Totaal";"1000 tot 1850";"2021";"Groot-Rijnmond (CR)";1670;189
"Totaal";"1000 tot 1850";"2021";"Zuidoost-Zuid-Holland (CR)";1915;145
"Totaal";"1000 tot 1850";"2021";"Zeeuwsch-Vlaanderen (CR)";278;228
"Totaal";"1000 tot 1850";"2021";"Overig Zeeland (CR)";3122;164
"Totaal";"1000 tot 1850";"2021";"West-Noord-Brabant (CR)";1533;211
"Totaal";"1000 tot 1850";"2021";"Midden-Noord-Brabant (CR)";633;248
"Totaal";"1000 tot 1850";"2021";"Noordoost-Noord-Brabant (CR)";1930;200
"Totaal";"1000 tot 1850";"2021";"Zuidoost-Noord-Brabant (CR)";586;271
"Totaal";"1000 tot 1850";"2021";"Noord-Limburg (CR)";407;266
"Totaal";"1000 tot 1850";"2021";"Midden-Limburg (CR)";1017;278
"Totaal";"1000 tot 1850";"2021";"Zuid-Limburg (CR)";5353;179
"Totaal";"1000 tot 1850";"2021";"Flevoland (CR)";8;
"Totaal";"1000 tot 1850";"2021";"Niet in te delen (CR)";0;
"Totaal";"1000 tot 1850";"2021";"Amsterdam";21455;85
"Totaal";"1000 tot 1850";"2021";"'s-Gravenhage (gemeente)";1449;112
"Totaal";"1000 tot 1850";"2021";"Rotterdam";21;174
"Totaal";"1000 tot 1850";"2021";"Utrecht (gemeente)";2619;110
"Totaal";"1945 tot 1955";"2021";"Nederland";357266;109
"Totaal";"1945 tot 1955";"2021";"Noord-Nederland (LD)";33705;116
"Totaal";"1945 tot 1955";"2021";"Oost-Nederland (LD)";72401;123
"Totaal";"1945 tot 1955";"2021";"West-Nederland (LD)";157924;90
"Totaal";"1945 tot 1955";"2021";"Zuid-Nederland (LD)";93236;127
"Totaal";"1945 tot 1955";"2021";"Niet in te delen (LD)";0;
"Totaal";"1945 tot 1955";"2021";"Groningen (PV)";12042;108
"Totaal";"1945 tot 1955";"2021";"Fryslân (PV)";10477;119
"Totaal";"1945 tot 1955";"2021";"Drenthe (PV)";11186;123
"Totaal";"1945 tot 1955";"2021";"Overijssel (PV)";22644;112
"Totaal";"1945 tot 1955";"2021";"Flevoland (PV)";3272;264
"Totaal";"1945 tot 1955";"2021";"Gelderland (PV)";46485;119
"Totaal";"1945 tot 1955";"2021";"Utrecht (PV)";19778;102
"Totaal";"1945 tot 1955";"2021";"Noord-Holland (PV)";53968;91
"Totaal";"1945 tot 1955";"2021";"Zuid-Holland (PV)";72500;83
