"";"Subject";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Beginstand woningvoorraad";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte";"Gemiddelde oppervlakte"
"";"House type";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Single-family home";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling";"Multi-family dwelling"
"";"Year of construction class";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025";"Total";"1000 to 1850";"1945 to 1955";"1985 to 1995";"1995 to 2005";"2005 to 2015";"2015 to 2025"
"Regions";"Periods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2";"m2"
"The Netherlands";"2019";"7814912";"72,393";"360175";"1020370";"832269";"674141";"225941";"5021988";"31707";"247473";"696266";"535978";"330238";"135142";"2,792,924";"40686";"112702";"324104";"296291";"343903";"90799";"119";"155";"109";"114";"131";"126";"116";"140";"235";"125";"132";"153";"162";"146";"81";"92";"73";"76";"91";"91";"71"
"The Netherlands";"2020";"7891786";"73130";"358620";"1022792";"833130";"673220";"298675";"5059921";"31704";"246115";"695897";"534930";"330467";"179140";"2,831,865";"41426";"112505";"326895";"298200";"342753";"119535";"119";"155";"109";"114";"131";"126";"117";"140";"235";"125";"132";"153";"162";"148";"81";"92";"73";"75";"91";"91";"71"
"The Netherlands";"2021";"7966331";"73672";"357266";"1024788";"834929";"673012";"368,948";"5,095,799";"31746";"245210";"695819";"535011";"330222";"220010";"2870532";"41926";"112056";"328,969";"299,918";"342790";"148938";"119";"155";"109";"114";"131";"126";"118";"141";"237";"125";"132";"154";"162";"149";"80";"93";"73";"75";"90";"90";"71"
"The Netherlands";"2022";"8045580";"67190";"355,957";"1026729";"836283";"673394";"440458";"5129687";"31376";"244225";"696215";"534541";"330466";"258718";"2915893";"35814";"111732";"330514";"301742";"342928";"181740";"120";"166";"110";"114";"132";"126";"118";"142";"243";"126";"133";"155";"164";"151";"80";"98";"73";"75";"90";"90";"71"
"The Netherlands";"2023";"8125229";"68063";"354,968";"1028315";"836602";"672365";"514799";"5159789";"31401";"243123";"695823";"534046";"330226";"294548";"2,965,440";"36662";"111845";"332492";"302556";"342139";"220251";"120";"166";"110";"115";"132";"126";"118";"143";"245";"127";"134";"156";"164";"152";"80";"98";"73";"74";"89";"90";"71"
"The Netherlands";"2024";"8204049";"68714";"354225";"1029741";"836970";"672229";"588510";"5189506";"31443";"241799";"695410";"533608";"330087";"330099";"3014543";"37271";"112426";"334331";"303362";"342142";"258411";"120";"166";"109";"115";"132";"126";"117";"143";"246";"126";"134";"157";"164";"153";"80";"97";"73";"74";"89";"89";"71"
"The Netherlands";"2025";"8274478";"69405";"352783";"1030267";"837126";"672689";"657171";"5211312";"31419";"240629";"694458";"533197";"329,978";"358853";"3063166";"37,986";"112154";"335809";"303929";"342711";"298318";"120";"165";"109";"115";"132";"126";"116";"144";"246";"127";"135";"157";"164";"153";"79";"97";"73";"74";"89";"89";"71"
"The Netherlands";"2026";"8,344,953";"72005";"351109";"1030884";"837568";"672557";"661500";"5239520";"32059";"239516";"694053";"532646";"329610";"360333";"3105433";"39,946";"111593";"336831";"304922";"342,947";"301167";"120";"163";"110";"115";"132";"126";"116";"144";"246";"127";"135";"157";"164";"154";"79";"96";"73";"73";"88";"89";"71"
"Amsterdam";"2012";"408888";"29673";"16861";"41778";"29740";"30840";"";"49830";"2,039";"3081";"10,548";"7189";"4,659";"";"359058";"27634";"13780";"31230";"22551";"26181";"";"73";"71";"58";"76";"99";"97";"";"102";"150";"71";"94";"124";"135";"";"70";"66";"55";"69";"90";"90";""
"Amsterdam";"2013";"411127";"29749";"16,862";"41886";"29668";"33811";"";"50087";"2,036";"3,078";"10,549";"7191";"4,936";"";"361040";"27713";"13784";"31337";"22477";"28,875";"";"74";"77";"58";"76";"99";"94";"";"104";"158";"72";"95";"125";"136";"";"70";"72";"55";"70";"90";"87";""
