"Populatie";"Kenmerken van huishoudens";"Perioden";"Regio's";"Particuliere huishoudens (x 1 000)";"Particuliere huishoudens relatief (%)";"Inkomen/Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Mediaan gestandaardiseerd inkomen (1 000 euro)";"Inkomen/Gemiddeld besteedbaar inkomen (1 000 euro)";"Inkomen/Mediaan besteedbaar inkomen (1 000 euro)"
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hilvarenbeek";6,5;100;36,8;32,9;55,5;47,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hilversum";42,3;100;34,9;29,6;50,2;37,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hoeksche Waard";37,1;100;36,2;31,9;54,1;45,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hof van Twente";14,9;100;34,1;29,9;51,2;42,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Het Hogeland";21,4;100;29,5;27,1;42,6;36,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hollands Kroon";20,9;100;32,2;29,1;47,8;40,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hoogeveen";24,3;100;29,1;26,8;42,3;36,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hoorn";33;100;31,7;28,9;45,9;38,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Horst aan de Maas";18;100;33;30,3;49,4;43,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Houten";20,2;100;37,3;34,1;57,1;51,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Huizen";18,4;100;36,1;30,8;52,3;41,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Hulst";12,6;100;31,9;29,1;45,8;38,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"IJsselstein";14,3;100;36,4;32;54,4;45,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Kaag en Braassem";11,6;100;37;32;55,3;45,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Kampen";22,1;100;30,4;28;45,7;40,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Kapelle";5,3;100;33,9;31,1;50,7;45,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Katwijk";26,5;100;33,5;30,3;51,2;44
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Kerkrade";22,7;100;26,9;24,5;37;31,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Koggenland";9,3;100;35,6;31,8;54,4;46,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Krimpen aan den IJssel";12,4;100;33,9;29,5;50,7;41,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Krimpenerwaard";23,7;100;35;30,6;52,4;43,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Laarbeek";9,5;100;33,9;30,4;51,1;43,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Landerd";6,3;100;35,5;31,7;54,8;46,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Landgraaf";17,6;100;29,5;27,1;41,7;35,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Landsmeer";4,8;100;39,2;33,6;59,4;48,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Langedijk";11,7;100;35,2;31,5;52,9;45,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Lansingerland";23,7;100;40,3;35;63,1;53,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Laren (NH.)";4,9;100;56,8;37;83,2;50
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Leeuwarden";62,1;100;27,5;25,3;38,1;31,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Leiden";66;100;29,4;26,2;40,2;31,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Leiderdorp";12,1;100;35,4;32,5;51,7;44,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Leidschendam-Voorburg";36,3;100;35,9;31,2;50,8;39,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Lelystad";34,1;100;30,2;27,6;44,1;37,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Leudal";15,6;100;32,9;30,5;48,5;42,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Leusden";13;100;37,8;33,4;56;47,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Lingewaard";19,6;100;33,2;30,4;49,9;43,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Lisse";10,2;100;34,8;30,5;51;42,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Lochem";14,7;100;36,3;31,1;53,4;43,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Loon op Zand";10,1;100;33,3;29,9;49,4;42,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Lopik";5,6;100;36;32,3;55,8;48,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Losser";9,4;100;32,2;28,6;48,6;40,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Maasdriel";10,5;100;35,1;30,3;53,5;43,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Maasgouw";10,6;100;33,6;30,1;48,9;41,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Maassluis";14,9;100;31,1;28,8;44,9;38,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Maastricht";61,1;100;27,5;23,8;37,5;29,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Medemblik";18,9;100;33,2;29,9;49,9;42
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Meerssen";8,5;100;34,9;30,8;50,8;42,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Meierijstad";34,5;100;34,7;30,6;51,9;43,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Meppel";15,3;100;30,9;28,2;44,6;37,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Middelburg (Z.)";22,8;100;31,3;28,3;44,2;36,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Midden-Delfland";7,8;100;40,8;34,6;63,4;51,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Midden-Drenthe";14,4;100;31,7;29,5;46,5;41,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Midden-Groningen";27,6;100;28,8;26,3;41,3;35,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Mill en Sint Hubert";4,6;100;33,8;30,1;51,2;43,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Moerdijk";16,3;100;33,1;30;48,8;42
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Molenlanden";16,8;100;37,3;31,3;58,8;47,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Montferland";15,6;100;31,7;28,6;47,2;40,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Montfoort";5,6;100;38,3;33,1;58,1;48,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Mook en Middelaar";3,5;100;37;32,8;54;45,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Neder-Betuwe";9,1;100;32,8;28,5;52;43,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Nederweert";7,3;100;34,7;30;52,3;43
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Nieuwegein";29,1;100;31,9;29,9;45,7;40
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Nieuwkoop";11,8;100;37,8;32,2;56,9;47,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Nijkerk";17,4;100;35,8;31,1;54,8;45,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Nijmegen";94;100;27,4;24,4;37,2;29,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Nissewaard";38,5;100;31,4;29,3;45,4;39,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noardeast-Fryslân";19,4;100;28,8;26,6;42,4;36,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noord-Beveland";3,6;100;32,1;29,1;44,5;38,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noordenveld";13,9;100;32,8;29,8;47,5;41
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noordoostpolder";19,4;100;31,2;28,4;46,6;40,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Noordwijk";19,5;100;38,1;30,7;55,8;41,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Nuenen, Gerwen en Nederwetten";10,1;100;38,3;33,8;56,8;48,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Nunspeet";10,9;100;33,2;29,2;51;43,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oegstgeest";10,6;100;43,3;36,5;64,4;51
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oirschot";7,7;100;37,8;32,4;57,2;47,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oisterwijk";13,7;100;39,1;32,3;57,8;45,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oldambt";18,1;100;27,7;25,3;39;33,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oldebroek";9,1;100;31,6;28,5;49,2;43,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oldenzaal";14;100;32,5;28,5;47,8;39
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Olst-Wijhe";7,6;100;32,8;30,3;49,6;43,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Ommen";7,4;100;33,2;29,6;49,5;42,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oost Gelre";12,4;100;33,7;30,3;50,5;42,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oosterhout";25;100;33;29,5;48,1;40,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Ooststellingwerf";11,2;100;29,7;27,4;43,1;37,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oostzaan";4,1;100;36,4;32,4;55,2;47,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Opmeer";5;100;34,4;30,4;51,9;42,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Opsterland";12,5;100;32,1;28,8;47,5;40,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oss";40,3;100;32,4;29;47,9;39,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oude IJsselstreek";17;100;30,6;27,8;45,2;38,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Ouder-Amstel";6,3;100;41,4;32,9;61,5;43,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Oudewater";4,2;100;39,6;32,4;60,5;46,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Overbetuwe";19,7;100;34,2;31,2;51,9;45,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Papendrecht";14;100;33,5;30,5;49,1;42,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Peel en Maas";18,2;100;32,7;30,1;49,3;43,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Pekela";5,5;100;27;24,9;38,9;33,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Pijnacker-Nootdorp";21,4;100;38,3;34,8;59,6;52,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Purmerend";36,5;100;31,3;29,2;45,4;39,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Putten";9,6;100;35,3;30,1;54,3;44,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Raalte";15,6;100;32,8;30;49,3;43,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Reimerswaal";9;100;31,9;28,3;48,6;41,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Renkum";14,5;100;36,1;30,7;51,5;40,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Renswoude";2,1;100;;32,3;;48,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Reusel-De Mierden";5,5;100;33,8;30,9;51,1;44,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rheden";20,9;100;31;27,7;43,6;35,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rhenen";8,3;100;35,4;30,1;52,9;43,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Ridderkerk";20,7;100;31,7;28,9;46;38,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rijssen-Holten";14,3;100;35,6;29,2;56,2;44,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rijswijk (ZH.)";26,2;100;32,3;28,9;45;36,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Roerdalen";9,3;100;33,2;29,5;47,9;40,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Roermond";27,8;100;30,2;26,8;42,5;34,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"De Ronde Venen";19;100;42,7;33,2;63,6;47,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Roosendaal";35;100;30,9;28,2;44,5;37,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rotterdam";320,9;100;28,9;24,5;39,8;30,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rozendaal";0,7;100;;;;
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Rucphen";9,9;100;31,7;28,7;47,6;41
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Schagen";20,5;100;34;30,2;50,1;41,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Scherpenzeel";4;100;34,6;31,4;52,6;46
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Schiedam";36,9;100;29,5;26,7;41,5;34,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Schiermonnikoog";0,5;100;;;;
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Schouwen-Duiveland";15,5;100;33,8;29,4;48,4;39,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Simpelveld";4,9;100;30,5;28;43,7;37,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Sint Anthonis";4,7;100;36,4;31,1;56,2;45,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Sint-Michielsgestel";12;100;37,4;32,6;57;47,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Sittard-Geleen";44,9;100;29,8;27;41,8;34,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Sliedrecht";10,4;100;31,2;28,6;46,4;39,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Sluis";11,2;100;31;27,9;43,7;36,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Smallingerland";25;100;29,6;26,9;42,7;35,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Soest";20,5;100;36,2;31,7;53,1;43,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Someren";8,2;100;35;30,1;52,7;42,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Son en Breugel";7,2;100;37,9;33,5;56,8;48,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Stadskanaal";14,6;100;27,6;25;39,6;33,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Staphorst";5,9;100;33,8;29,8;54,9;46,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Stede Broec";9,1;100;31,7;29,1;47,3;41,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Steenbergen";10,9;100;31;28,8;45,1;39,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Steenwijkerland";19,3;100;30,9;28,1;45,2;38,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Stein (L.)";11,6;100;31,6;28,8;45,6;39
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Stichtse Vecht";28,1;100;38,7;32,1;57,6;45,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Súdwest-Fryslân";39,8;100;30,9;27,9;44,9;37,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Terneuzen";25,5;100;30,6;28,3;43,4;36,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Terschelling";2,5;100;31,7;27,7;43,9;35,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Texel";6,4;100;32,2;28,5;45,4;37,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Teylingen";15,8;100;38,5;32,9;57,5;47,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Tholen";10,5;100;31,4;28,4;47,6;40,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Tiel";18,5;100;30,4;27,7;44,3;37,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Tilburg";106,8;100;28,6;26,1;40,3;33
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Tubbergen";8,1;100;34,7;31,1;55,1;48,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Twenterand";13,2;100;30,6;27,8;47,6;41,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Tynaarlo";14,3;100;35,8;32,2;53;45,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Tytsjerksteradiel";13,6;100;30,9;28,8;45,6;40,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Uden";18,6;100;33,1;29,4;48,6;39,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Uitgeest";5,7;100;35,8;33,2;54,2;48,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Uithoorn";12,7;100;34,8;31,3;51,5;43,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Urk";6,3;100;32;28,7;55,2;47,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Utrecht (gemeente)";177,2;100;31,3;28,3;43,6;34,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Utrechtse Heuvelrug";21,5;100;39,2;32,7;57,8;44,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Vaals";4,8;100;28,1;24,4;38,2;30,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Valkenburg aan de Geul";7,9;100;32,2;28,5;45,7;37
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Valkenswaard";14,4;100;33;29,2;47,5;38,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Veendam";12,6;100;28,2;26,1;40,4;34,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Veenendaal";28;100;32;29;47,7;40,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Veere";9,4;100;35,1;31,1;51,6;43,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Veldhoven";19,9;100;35,6;31,4;52,4;43,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Velsen";30,9;100;32,8;29,8;47,7;40,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Venlo";47,3;100;29,4;26,5;41,8;34,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Venray";18,9;100;32,2;29,2;47,5;40,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Vijfheerenlanden";23,3;100;33,8;30,2;50,9;43,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Vlaardingen";34,5;100;29,7;26,9;41,9;34,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Vlieland";0,6;100;;;;
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Vlissingen";22;100;28,4;26,4;39,1;33,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Voerendaal";5,6;100;33,9;30,6;49,3;42,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Voorschoten";11,1;100;38,6;34;57;47
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Voorst";10,1;100;35,2;30,9;52,9;44,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Vught";13,3;100;41,5;32,5;62,1;45,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Waadhoeke";20,2;100;29,7;27,6;43,2;37,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Waalre";7,5;100;43,4;34,4;65,3;49
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Waalwijk";21,7;100;31,9;28,5;46,5;39
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Waddinxveen";12,1;100;33,9;31,1;50,9;44,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Wageningen";20,5;100;25;23;34,5;27,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Wassenaar";11,3;100;55,1;33,8;82,9;46,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Waterland";7,5;100;38,1;32,8;57;45,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Weert";22,6;100;32,3;28,8;46,7;38,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Weesp";9,1;100;35,5;30,9;51;40
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"West Betuwe";20,5;100;36,4;31,9;56,1;47,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"West Maas en Waal";8,3;100;33,4;30,2;49,9;42,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Westerkwartier";26,3;100;31,4;29,2;47;42,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Westerveld";8,7;100;33,3;29,9;47,9;40,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Westervoort";6,7;100;30,7;28,7;44,6;39,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Westerwolde";11,1;100;28,8;26,5;41,5;35,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Westland";46,2;100;36,1;31,2;54,7;44,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Weststellingwerf";11,3;100;29,4;27;43,1;37,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Westvoorne";6,6;100;44;34,5;65,2;46,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Wierden";9,6;100;35,4;31,3;55;46,6
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Wijchen";17,7;100;33,3;30,4;49,4;42,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Wijdemeren";10,6;100;40,9;33,1;60,3;47,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Wijk bij Duurstede";10,1;100;35,4;32,3;53;47
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Winterswijk";12,7;100;32,9;27,8;47,1;37,9
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Woensdrecht";9,5;100;32,1;29,5;47,1;40,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Woerden";21,8;100;37,4;32,4;56,5;46,5
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"De Wolden";10,2;100;33,6;30,7;50,5;44,3
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Wormerland";7,1;100;35;30,8;52;42,7
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Woudenberg";5,1;100;36,2;31,8;56;47,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zaanstad";69,8;100;30,7;28,3;44,6;37,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zaltbommel";11,8;100;33,6;29,7;51;43,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zandvoort";8,5;100;35,7;28,3;49,9;36
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zeewolde";9,5;100;33,2;30,3;50;44,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zeist";29;100;38,3;30,2;56,4;39,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zevenaar";19,8;100;30,7;28,1;44,4;38,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zoetermeer";55,8;100;32,6;30,3;47,2;41,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zoeterwoude";3,5;100;37,6;33,5;56,8;49
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zuidplas";17,8;100;37,5;32,6;57,1;48,1
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zundert";9,4;100;34,1;30,4;50,8;42,8
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zutphen";22;100;30,1;27,6;42,6;36,2
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zwartewaterland";8,5;100;33,4;29,4;52,3;44,4
"Particuliere huishoudens incl. studenten";"Particuliere huishoudens";"2020*";"Zwijndrecht";20,1;100;32,3;28,3;46,7;37,8
